epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,21086.4,1.33357,1.05761,1.21598,0.80933,0.71042,0.7869,0.52984,1.20451,0.94909,1.20296,0.005974,0.005974,0.005974
63,21414.1,1.32887,1.05905,1.22219,0.7965,0.70582,0.78141,0.52515,1.20734,0.95769,1.20385,0.005908,0.005908,0.005908
64,21744.3,1.34103,1.05709,1.22184,0.79384,0.70507,0.78361,0.52627,1.20375,0.95123,1.20332,0.005842,0.005842,0.005842
65,22074.5,1.32975,1.03577,1.21004,0.80858,0.70679,0.788,0.53093,1.19985,0.94009,1.19821,0.005776,0.005776,0.005776
66,22400.6,1.30945,1.02438,1.20541,0.81927,0.71211,0.79439,0.53623,1.18558,0.92477,1.19339,0.00571,0.00571,0.00571
67,22722.6,1.32551,1.04939,1.21385,0.81607,0.70586,0.78814,0.53493,1.19274,0.94951,1.19281,0.005644,0.005644,0.005644
68,23046.6,1.3085,1.03214,1.21377,0.8137,0.71047,0.79132,0.53691,1.19158,0.9408,1.19607,0.005578,0.005578,0.005578
69,23372.8,1.30788,1.02645,1.19837,0.83337,0.70568,0.7974,0.54294,1.18331,0.92817,1.18937,0.005512,0.005512,0.005512
70,23700,1.30332,1.02938,1.2043,0.8184,0.7142,0.80055,0.54462,1.17856,0.91649,1.18629,0.005446,0.005446,0.005446
71,24027.2,1.29779,1.01215,1.19114,0.79042,0.73846,0.80386,0.54638,1.18201,0.9073,1.1862,0.00538,0.00538,0.00538
72,24355.6,1.30369,1.0129,1.19744,0.81889,0.71369,0.79822,0.54017,1.17849,0.91613,1.1828,0.005314,0.005314,0.005314
73,24683,1.29701,1.00407,1.19344,0.83858,0.70601,0.80285,0.54819,1.16627,0.8996,1.17879,0.005248,0.005248,0.005248
74,25010.1,1.29366,1.00495,1.19848,0.82865,0.72195,0.80459,0.54913,1.16115,0.88946,1.1749,0.005182,0.005182,0.005182
75,25336.5,1.28025,0.98645,1.18356,0.82617,0.73189,0.80972,0.55336,1.16132,0.89168,1.16953,0.005116,0.005116,0.005116
76,25663.8,1.28255,0.99168,1.18706,0.82594,0.73046,0.81008,0.55514,1.15351,0.89301,1.1669,0.00505,0.00505,0.00505
77,25992.9,1.28088,0.98196,1.18357,0.82162,0.7262,0.8061,0.55422,1.15096,0.88222,1.16711,0.004984,0.004984,0.004984
78,26322.7,1.27841,0.98139,1.18546,0.82412,0.73349,0.81126,0.55411,1.15572,0.88455,1.17006,0.004918,0.004918,0.004918
79,26652.1,1.27848,0.9755,1.17859,0.84386,0.72202,0.81675,0.56216,1.14646,0.8727,1.16342,0.004852,0.004852,0.004852
80,26981.2,1.27589,0.98494,1.1863,0.83736,0.73118,0.81728,0.56023,1.14236,0.87443,1.16219,0.004786,0.004786,0.004786
81,27314.4,1.27181,0.97648,1.18079,0.82443,0.74666,0.81977,0.56401,1.14413,0.87062,1.16567,0.00472,0.00472,0.00472
82,27644.9,1.26572,0.97307,1.17906,0.83116,0.73775,0.82144,0.56609,1.14302,0.86649,1.16465,0.004654,0.004654,0.004654
83,27974.6,1.26317,0.96067,1.17688,0.83567,0.7319,0.8196,0.5659,nan,nan,nan,0.004588,0.004588,0.004588
84,28301.9,1.26453,0.9664,1.17777,0.82965,0.74228,0.82329,0.56788,1.13343,0.86236,1.15735,0.004522,0.004522,0.004522
85,28627.7,1.25249,0.95015,1.16899,0.84007,0.74238,0.82586,0.57152,1.12322,0.85239,1.14976,0.004456,0.004456,0.004456
86,28952.7,1.25934,0.95556,1.16961,0.84479,0.74238,0.82648,0.57233,1.12726,0.85389,1.15256,0.00439,0.00439,0.00439
87,29279.6,1.25968,0.95743,1.17687,0.83766,0.74375,0.82256,0.57203,1.13091,0.85521,1.15515,0.004324,0.004324,0.004324
88,29607.5,1.24931,0.94349,1.17102,0.85438,0.73679,0.82763,0.57608,1.12483,0.84545,1.14962,0.004258,0.004258,0.004258
89,29934.7,1.24222,0.94604,1.1652,0.86129,0.73025,0.8263,0.57674,nan,nan,nan,0.004192,0.004192,0.004192
90,30260.6,1.24032,0.93836,1.16293,0.84999,0.74509,0.82863,0.57643,1.12248,0.85025,1.1473,0.004126,0.004126,0.004126
91,30587.3,1.24115,0.93759,1.16573,0.84629,0.75281,0.83142,0.57822,1.11613,0.84272,1.14644,0.00406,0.00406,0.00406
92,30915.3,1.24069,0.93558,1.16249,0.85322,0.74602,0.83223,0.5809,1.11551,0.83346,1.14384,0.003994,0.003994,0.003994
93,31239.3,1.23779,0.93344,1.16771,0.84741,0.75381,0.83346,0.58189,1.10664,0.83454,1.14187,0.003928,0.003928,0.003928
94,31564.3,1.22949,0.92577,1.16099,0.85095,0.74995,0.83249,0.58148,1.10925,0.8267,1.14081,0.003862,0.003862,0.003862
95,31891.5,1.22579,0.92058,1.15312,0.8535,0.75422,0.83709,0.58446,1.09905,0.82035,1.13712,0.003796,0.003796,0.003796
96,32219,1.22228,0.91795,1.15343,0.8456,0.75714,0.83493,0.5841,1.10041,0.82198,1.1365,0.00373,0.00373,0.00373
97,32545.9,1.2186,0.91005,1.15342,0.84127,0.75932,0.83435,0.58186,1.10405,0.82161,1.13782,0.003664,0.003664,0.003664
98,32872,1.21938,0.91588,1.15529,0.85548,0.75169,0.83589,0.58454,1.0994,0.82363,1.13394,0.003598,0.003598,0.003598
99,33200.1,1.21589,0.90667,1.1476,0.85725,0.74922,0.83512,0.58534,1.10075,0.8152,1.13626,0.003532,0.003532,0.003532
100,33527,1.21968,0.90587,1.15081,0.84459,0.75868,0.83664,0.58755,1.0966,0.8138,1.13205,0.003466,0.003466,0.003466
101,33852.6,1.21012,0.90023,1.14592,0.84828,0.75878,0.83685,0.59145,1.0902,0.81479,1.12665,0.0034,0.0034,0.0034
102,34179.1,1.19838,0.89174,1.14552,0.8487,0.76469,0.83821,0.58851,1.08898,0.80872,1.12939,0.003334,0.003334,0.003334
103,34505.1,1.20561,0.90085,1.15055,0.86262,0.75335,0.83828,0.58947,1.08667,0.8051,1.12717,0.003268,0.003268,0.003268
